Inst ID,Institution,Unit,Sector,Facility class,Arthroplasty evidence,TKR evidence,THR evidence,Arthro surgeons (count),Named surgeons,Reported annual volume,Volume basis,Est. procedures Low,Est. procedures Base,Est. procedures High,Institution knee share (if known),Knee share source,Knee proc Low,Knee proc Base,Knee proc High,Hip proc Low,Hip proc Base,Hip proc High,Rehab / physio evidence,Source claim IDs,Confidence,Included in Method B?,Include / exclude reason,Possible decision-maker,Role,Contact path,Pilot notes (Part 2),Status,Relative scale
INST-001,PGIMER,Chandigarh,Government,Tertiary government teaching hospital,Verified via official department/current role + published arthroplasty work,Capability verified; annual TKR volume not public,Capability verified; annual THR volume not public,4,Prof. Aditya K. Aggarwal; other surgeons not used for volume,,"MEASURED - coordinator phone estimate (P-006): 20-25 primary knee + 3-5 hip per month, annualised. Staff recall, not records.",276,324,360,0.85,P-006: ~20-25 knee + 3-5 hip/month,234.6,275.4,306,41.4,48.6,54,Rehab capability expected at tertiary centre; local workflow requires call,"C-120,C-122,P-006",Medium-Low (staff estimate),Yes,Reported monthly range x12; Base = midpoint,Prof. Aditya K. Aggarwal / rehab lead,HOD / workflow owner,Official department switchboard / profile,"High strategic relevance; broad referral catchment likely, but inflow must be measured",Active,Measured
INST-002,GMCH-32,Chandigarh,Government,Tertiary government teaching hospital,Official procedure list explicitly includes TKR and THR,Verified,Verified,,,,"DERIVED - tertiary government teaching anchor (PGIMER, P-006) x Smaller. Reason: teaching hospital but not a national institute; no named arthroplasty programme found.",82.8,162,252,,,64.584,136.08,226.8,8.28,25.92,55.44,Public workflow detail limited,"C-118,C-122",Assumption / Low,Yes,Assumed volume; confirm from call data or records,Orthopaedics HOD / physio lead,Clinical + rehab,GMCH enquiry / orthopaedics,Potential public-sector contrast site,Assumption,Smaller
INST-003,Fortis Hospital Mohali,Mohali,Private,Private multispecialty hospital,Official orthopaedics/joint-replacement service,Verified capability,Verified capability,4,Dr. Mandeep Singh Dhillon; Dr. Amit Kapila; Dr. Gagan Deep Gupta; team,,"DERIVED - private multispecialty anchor (Park Grecian, P-007) x Larger. Reason: three named arthroplasty surgeons on the hospital's own site and a distinct joint-replacement service line.",184.8,265.2,384,,,144.144,222.768,345.6,18.48,42.432,84.48,Hospital has orthopaedics; actual post-discharge pathway requires call,"C-112,C-122",Assumption / Low-Medium,Yes,Assumed volume; high-priority real call target,Physio lead; Dr. Dhillon for approval,Workflow owner / clinical champion,Hospital switchboard → physiotherapy / orthopaedics,High-priority pilot candidate if ownership exists,Assumption,Larger
INST-004,Shalby Hospital Mohali,Mohali,Private,Private multispecialty hospital,Official knee joint-replacement service,Verified,Hip capability plausible but not used as a reported volume,2,Dr. Gurdarshan Singh Natt; Dr. Pradeep Aggarwal,,DERIVED - private multispecialty anchor (P-007) x Comparable. Reason: joint-replacement-led chain but a single Mohali unit; one named knee surgeon on own site.,134.4,204,288,,,104.832,171.36,259.2,13.44,32.64,63.36,Prehab/physio mentioned in official material; detailed home workflow unknown,"C-116,C-122",Assumption / Low-Medium,Yes,Assumed volume; confirm from call data or records,Joint-replacement lead / physio lead,Clinical champion / workflow,Hospital contact route,Call early because joint replacement is a visible service line,Assumption,Comparable
INST-005,Park Grecian Super Speciality Hospital,Mohali,Private,Private multispecialty hospital,"Official Ortho, Joint Replacement & Sports Medicine",Verified,Verified capability,2,Dr. Bhanu Pratap Singh Saluja; Dr. Tajinder Bhalla,,"MEASURED - staff phone estimate (P-007): 12-16 knee + 2-4 hip per month, annualised. Staff recall, not records. This site is the private multispecialty class anchor.",168,204,240,0.82,P-007: ~12-16 knee + 2-4 hip/month,137.76,167.28,196.8,30.24,36.72,43.2,Official physiotherapy page confirms rehab + domiciliary services,"C-113,C-122,P-007",Medium-Low (staff estimate),Yes,Reported monthly range x12; Base = midpoint,Dr. Saluja; physiotherapy lead,Clinical champion / workflow owner,+91-8599844444 → ortho/physio,Strong pilot candidate because surgery + rehab exist in one system,Active,Measured
INST-006,Livasa Hospital Mohali (formerly Ivy),Mohali,Private,Private multispecialty hospital,Current official orthopaedics/joint-replacement roster,Verified,Verified capability,2,Dr. Manuj Wadhwa; Dr. Robin Bohat,,"DERIVED - private multispecialty anchor (P-007) x Comparable. Reason: 230-bed tertiary unit, two named joint-replacement surgeons on own site.",134.4,204,288,,,104.832,171.36,259.2,13.44,32.64,63.36,Workflow not publicly quantified,"C-114,C-122",Assumption / Low-Medium,Yes,Assumed volume; surgeon count NOT used to derive volume,Physio lead; Dr. Wadhwa,Workflow / clinical champion,+91 80788 80788,Cross-site Wadhwa affiliation with Ojas must be confirmed in real outreach,Assumption,Comparable
INST-007,Max Super Speciality Hospital Mohali,Mohali,Private,Private multispecialty hospital,Current official joint-replacement roster,Verified,Verified,2,Dr. Ramesh Kumar Sen; Dr. Sandeep Gupta,,DERIVED - private multispecialty anchor (P-007) x Comparable. Reason: named HOD and a director of orthopaedics & joint replacement on own site.,134.4,204,288,,,104.832,171.36,259.2,13.44,32.64,63.36,Workflow unknown from public material,"C-115,C-122",Assumption / Low-Medium,Yes,Assumed volume; confirm from call data or records,Physio lead / joint replacement HOD,Workflow / clinical champion,Max Mohali booking line,Potential high-volume private comparator,Assumption,Comparable
INST-008,CHPL Super Speciality Hospital,Mohali,Private,Private orthopaedic specialty hospital,Public site has a concrete partial-knee volume signal; total-knee volume not public,Primary TKR volume unknown,THR volume unknown,,,240,"MEASURED, KNEE ONLY - staff estimate (P-008): total knees 'high single digits' per month, annualised at 7-9. Oxford partial knees are a separate programme and are EXCLUDED by our TKR definition. Hips not stated, so hip volume is set to zero rather than inferred.",84,102,108,1,Institution-specific,84,102,108,0,0,0,Post-op rehab capability to verify,"C-122,P-008",Assumption / Low,Yes,"Staff said high-single-digit TKR/month (P-008, unconfirmed); partial knees excluded; hip volume assumed",Orthopaedics / joint replacement coordinator,Volume source,Hospital switchboard,High-value call because website proves active knee arthroplasty but not TKR denominator,Assumption,Measured
INST-009,Alchemist Hospital Panchkula,Panchkula,Private,Private multispecialty hospital,Joint-replacement rehab verified on official physiotherapy page,Capability supported by rehab service,Capability supported by rehab service,,Dr. Veenu Sharma (physiotherapy lead),,"DERIVED - private multispecialty anchor (P-007) x Smaller. Reason: two named orthopaedic specialists, no separate arthroplasty programme evidenced.",50.4,102,168,,,39.312,85.68,151.2,5.04,16.32,36.96,Post-joint-replacement rehab + domiciliary home service explicitly listed,"C-119,C-122",Assumption / Medium for rehab; Low for volume,Yes,Assumed volume; rehab evidence is sourced,Dr. Veenu Sharma / orthopaedics lead,Workflow owner,0172-4500000 → physiotherapy,Best Script 1 target: can test in-house and home-visit pathways,Assumption,Smaller
INST-010,Ojas Hospital Panchkula,Panchkula,Private,Private orthopaedic specialty hospital,Official orthopaedics/joint-replacement department,Verified,Verified capability,4,Dr. Manuj Wadhwa; Dr. Suresh Singla; Dr. Navdeep Gupta; Dr. Anmol Sharma,,"DERIVED - private multispecialty anchor (P-007) x Smaller. Reason: orthopaedics & joint replacement department listed; cross-site surgeon overlap with Livasa unresolved, so kept conservative.",50.4,102,168,,,39.312,85.68,151.2,5.04,16.32,36.96,Own site mentions equipped physio centre for joint replacement,"C-117,C-122",Assumption / Low-Medium,Yes,Assumed volume; do not use Wadhwa twice in surgeon-derived estimates,Physio lead / joint-replacement director,Workflow / clinical champion,Ojas hospital contact route,Cross-site surgeon identity is a live dedupe case,Assumption,Smaller
